abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classification,defense,experience_growth,generation,height_m,hp,image,is_legendary,japanese_name,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg
"['Refrigerate', 'Snow Warning']",1,1,1,1,1,4,1,0.5,1,2,2,0.5,0.5,0.5,1,2,4,2,59,7680,70,362,45,Tundra Pokémon,50,1000000,6,1.3,77,images/amaura.png,0,Amarusアマルス,Amaura,88.1,698,67,63,46,rock,ice,25.2
"['Technician', 'Pickup', 'Skill Link']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,100,5120,100,482,45,Long Tail Pokémon,66,800000,4,1.2,75,images/ambipom.png,0,Etebothエテボース,Ambipom,50,424,60,66,115,normal,,20.3
"['Effect Spore', 'Regenerator']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,85,5120,70,464,75,Mushroom Pokémon,70,1000000,5,0.6,114,images/amoonguss.png,0,Morobareruモロバレル,Amoonguss,50,591,85,80,30,grass,poison,10.5
"['Static', 'Plus']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,95,5120,70,610,45,Light Pokémon,105,1059860,2,1.4,90,images/ampharos.png,0,Denryuデンリュウ,Ampharos,50,181,165,110,45,electric,,61.5
"['Battle Armor', 'Swift Swim']",1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,2,2,2,95,7680,70,355,45,Old Shrimp Pokémon,50,600000,3,0.7,45,images/anorith.png,0,Anopthアノプス,Anorith,88.1,347,40,50,75,rock,bug,12.5
"['Water Bubble', 'Water Absorb']",1,1,1,2,1,0.5,1,2,1,1,0.5,0.5,1,1,1,2,0.5,0.5,70,3840,70,454,100,Water Bubble Pokémon,92,1000000,7,1.8,68,images/araquanid.png,0,Onishizukumoオニシズクモ,Araquanid,50,752,50,132,42,water,bug,82.0
"['Intimidate', 'Shed Skin', 'Unnerve']",0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,95,5120,70,448,90,Cobra Pokémon,69,1000000,1,3.5,60,images/arbok.png,0,Arbokアーボック,Arbok,50,24,65,79,80,poison,,65.0
"['Intimidate', 'Flash Fire', 'Justified']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,110,5120,70,555,75,Legendary Pokémon,80,1250000,1,1.9,90,images/arcanine.png,0,Windieウインディ,Arcanine,75.4,59,100,80,95,fire,,155.0
['Multitype'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,120,30720,0,720,3,Alpha Pokémon,120,1250000,4,3.2,120,images/arceus.png,1,Arceusアルセウス,Arceus,0,493,120,120,120,normal,,320.0
['Defeatist'],0.5,1,1,2,1,1,0.5,0.5,1,1,0,2,0.5,0.5,1,2,2,2,112,7680,70,401,45,First Bird Pokémon,45,1000000,5,0.5,55,images/archen.png,0,Archenアーケン,Archen,88.1,566,74,45,70,rock,flying,9.5
['Defeatist'],0.5,1,1,2,1,1,0.5,0.5,1,1,0,2,0.5,0.5,1,2,2,2,140,7680,70,567,45,First Bird Pokémon,65,1000000,5,1.4,75,images/archeops.png,0,Archeosアーケオス,Archeops,88.1,567,112,65,110,rock,flying,32.0
"['Swarm', 'Insomnia', 'Sniper']",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,90,3840,70,400,90,Long Leg Pokémon,70,800000,2,1.1,70,images/ariados.png,0,Ariadosアリアドス,Ariados,50,168,60,70,40,bug,poison,33.5
"['Battle Armor', 'Swift Swim']",1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,2,2,2,125,7680,70,495,45,Plate Pokémon,100,600000,3,1.5,75,images/armaldo.png,0,Armaldoアーマルド,Armaldo,88.1,348,70,80,45,rock,bug,68.2
"['Healer', 'Aroma Veil']",0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1,72,5120,70,462,140,Fragrance Pokémon,72,1000000,6,0.8,101,images/aromatisse.png,0,Frefuwanフレフワン,Aromatisse,50,683,99,89,29,fairy,,15.5
"['Sturdy', 'Rock Head', 'Heavy Metal']",0.5,1,0.5,1,0.5,4,1,0.25,1,1,4,0.5,0.25,0,0.5,0.5,1,2,70,8960,35,330,180,Iron Armor Pokémon,100,1250000,3,0.4,50,images/aron.png,0,Cokodoraココドラ,Aron,50,304,40,40,30,steel,rock,60.0
"['Pressure', 'Snow Cloak']",0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1,85,20480,35,580,3,Freeze Pokémon,100,1250000,1,1.7,90,images/articuno.png,1,Freezerフリーザー,Articuno,0,144,95,125,85,ice,flying,55.4
"['Healer', 'Regenerator', 'Klutz']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,60,5120,70,545,255,Hearing Pokémon,126,800000,5,1.1,103,images/audino.png,0,Tabunneタブンネ,Audino,50,531,80,126,50,normal,,31.0
"['Refrigerate', 'Snow Warning']",1,1,1,1,1,4,1,0.5,1,2,2,0.5,0.5,0.5,1,2,4,2,77,7680,70,521,45,Tundra Pokémon,72,1000000,6,2.7,123,images/aurorus.png,0,Amarurugaアマルルガ,Aurorus,88.1,699,99,92,58,rock,ice,225.0
"['Own Tempo', 'Ice Body', 'Sturdy']",1,1,1,1,1,2,2,1,1,1,1,0.5,1,1,1,2,2,1,117,5120,70,514,55,Iceberg Pokémon,184,1000000,6,2.0,95,images/avalugg.png,0,Crebaseクレベース,Avalugg,50,713,44,46,28,ice,,505.0
"['Rivalry', 'Mold Breaker', 'Unnerve']",1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5,87,10240,35,320,75,Tusk Pokémon,60,1250000,5,0.6,46,images/axew.png,0,Kibagoキバゴ,Axew,50,610,30,40,57,dragon,,18.0
['Levitate'],2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,125,20480,140,580,3,Willpower Pokémon,70,1250000,4,0.3,75,images/azelf.png,1,Agnomeアグノム,Azelf,0,482,125,70,115,psychic,,0.3
"['Thick Fat', 'Huge Power', 'Sap Sipper']",0.5,0.5,0,2,1,0.5,0.5,1,1,2,1,0.5,1,2,1,1,1,0.5,50,2560,70,420,75,Aquarabbit Pokémon,80,800000,2,0.8,100,images/azumarill.png,0,Marilliマリルリ,Azumarill,50,184,60,80,50,water,fairy,28.5
"['Thick Fat', 'Huge Power', 'Sap Sipper']",0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,20,2560,70,190,150,Polka Dot Pokémon,40,800000,3,0.2,50,images/azurill.png,0,Ruririルリリ,Azurill,24.6,298,20,40,20,normal,fairy,2.0
"['Rock Head', 'Sheer Force']",1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5,75,10240,35,300,45,Rock Head Pokémon,60,1250000,3,0.6,45,images/bagon.png,0,Tatsubayタツベイ,Bagon,50,371,40,30,50,dragon,,42.1
['Levitate'],2,2,1,0,1,0.5,1,1,2,2,1,2,1,0.5,0.5,0.5,1,2,40,5120,70,300,255,Clay Doll Pokémon,55,1000000,3,0.5,40,images/baltoy.png,0,Yajilonヤジロン,Baltoy,0,343,40,70,55,ground,psychic,21.5
"['Insomnia', 'Frisk', 'Cursed Body']",0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1,165,6400,35,555,45,Marionette Pokémon,75,800000,3,1.1,64,images/banette.png,0,Juppetaジュペッタ,Banette,50,354,93,83,75,ghost,,12.5
"['Tough Claws', 'Sniper', 'Pickpocket']",1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,105,5120,70,500,45,Collective Pokémon,115,1000000,6,1.3,72,images/barbaracle.png,0,Gamenodesガメノデス,Barbaracle,50,689,54,86,68,rock,water,96.0
"['Oblivious', 'Anticipation', 'Hydration']",1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1,48,5120,70,288,190,Whiskers Pokémon,43,1000000,3,0.4,50,images/barboach.png,0,Dojoachドジョッチ,Barboach,50,339,46,41,60,water,ground,1.9
"['Reckless', 'Rock Head', 'Adaptability', 'Mold Breaker']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,92,10240,70,460,25,Hostile Pokémon,65,1000000,5,1.0,70,images/basculin-red-striped.png,0,Bassraoバスラオ,Basculin,50,550,80,55,98,water,,18.0
"['Sturdy', 'Soundproof']",0.5,1,0.5,1,0.5,4,1,0.25,1,1,4,0.5,0.25,0,0.5,0.5,1,2,52,7680,70,495,45,Shield Pokémon,168,600000,4,1.3,60,images/bastiodon.png,0,Toridepsトリデプス,Bastiodon,88.1,411,47,138,30,rock,steel,149.5
"['Overgrow', 'Leaf Guard']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,62,5120,70,405,45,Leaf Pokémon,80,1059860,2,1.2,60,images/bayleef.png,0,Bayleafベイリーフ,Bayleef,88.1,153,63,80,60,grass,,15.8
"['Snow Cloak', 'Slush Rush', 'Swift Swim']",1,1,1,1,1,2,2,1,1,1,1,0.5,1,1,1,2,2,1,130,5120,70,505,60,Freezing Pokémon,80,1000000,5,2.6,95,images/beartic.png,0,Tunbearツンベアー,Beartic,50,614,70,80,50,ice,,260.0
"['Swarm', 'Rivalry']",0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,70,3840,70,395,45,Butterfly Pokémon,50,1000000,3,1.0,60,images/beautifly.png,0,Agehuntアゲハント,Beautifly,50,267,100,50,65,bug,flying,28.4
"['Swarm', 'Sniper']",0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,150,3840,70,495,45,Poison Bee Pokémon,40,1000000,1,1.0,65,images/beedrill.png,0,Spearスピアー,Beedrill,50,15,15,80,145,bug,poison,29.5
"['Telepathy', 'Synchronize', 'Analytic']",2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,75,5120,70,485,90,Cerebral Pokémon,75,1000000,5,1.0,75,images/beheeyem.png,0,Ohbemオーベム,Beheeyem,50,606,125,95,40,psychic,,34.5
"['Clear Body', 'Light Metal']",1,2,0.5,1,0.5,1,2,0.5,2,0.5,2,0.5,0.5,0,0.25,0.5,0.5,1,55,10240,35,300,3,Iron Ball Pokémon,80,1250000,3,0.6,40,images/beldum.png,0,Dumbberダンバル,Beldum,0,374,35,60,30,steel,psychic,95.2
"['Chlorophyll', 'Healer']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,80,5120,70,490,45,Flower Pokémon,95,1059860,2,0.4,75,images/bellossom.png,0,Kireihanaキレイハナ,Bellossom,50,182,90,100,50,grass,,5.8
"['Chlorophyll', 'Gluttony']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,75,5120,70,300,255,Flower Pokémon,35,1059860,1,0.7,50,images/bellsprout.png,0,Madatsubomiマダツボミ,Bellsprout,50,69,70,30,40,grass,poison,4.0
"['Own Tempo', 'Ice Body', 'Sturdy']",1,1,1,1,1,2,2,1,1,1,1,0.5,1,1,1,2,2,1,69,5120,70,304,190,Ice Chunk Pokémon,85,1000000,6,1.0,55,images/bergmite.png,0,Kachikohruカチコール,Bergmite,50,712,32,35,28,ice,,99.5
"['Fluffy', 'Klutz', 'Unnerve']",0.5,0.5,1,1,2,2,1,2,0,1,1,1,1,1,2,0.5,1,1,125,3840,70,500,70,Strong Arm Pokémon,80,1000000,7,2.1,120,images/bewear.png,0,Kiterugumaキテルグマ,Bewear,50,760,55,60,60,normal,fighting,135.0
"['Simple', 'Unaware', 'Moody']",1,1,1,2,1,2,0.5,1,0,2,1,0.5,1,1,1,1,0.5,0.5,85,3840,70,410,127,Beaver Pokémon,60,1000000,4,1.0,79,images/bibarel.png,0,Beadaruビーダル,Bibarel,50,400,55,60,71,normal,water,31.5
"['Simple', 'Unaware', 'Moody']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,45,3840,70,250,255,Plump Mouse Pokémon,40,1000000,4,0.5,59,images/bidoof.png,0,Bippaビッパ,Bidoof,50,399,35,40,31,normal,,20.0
"['Tough Claws', 'Sniper', 'Pickpocket']",1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,52,5120,70,306,120,Two-Handed Pokémon,67,1000000,6,0.5,42,images/binacle.png,0,Kameteteカメテテ,Binacle,50,688,39,56,50,rock,water,31.0
"['Defiant', 'Inner Focus', 'Pressure']",1,0.5,0.5,1,1,4,2,0.5,0.5,0.5,2,0.5,0.5,0,0,0.5,0.5,1,125,5120,35,490,45,Sword Blade Pokémon,100,1000000,5,1.6,65,images/bisharp.png,0,Kirikizanキリキザン,Bisharp,50,625,60,70,70,dark,steel,70.0
"['Torrent', 'Rain Dish']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,103,5120,70,630,45,Shellfish Pokémon,120,1059860,1,1.6,79,images/blastoise.png,0,Kamexカメックス,Blastoise,88.1,9,135,115,78,water,,85.5
"['Blaze', 'Speed Boost']",0.25,0.5,1,1,1,1,0.5,2,1,0.5,2,0.5,1,1,2,1,0.5,2,160,5120,70,630,45,Blaze Pokémon,80,1059860,3,1.9,80,images/blaziken.png,0,Bursyamoバシャーモ,Blaziken,88.1,257,130,80,100,fire,fighting,52.0
"['Natural Cure', 'Serene Grace', 'Healer']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,10,10240,140,540,30,Happiness Pokémon,10,800000,2,1.5,255,images/blissey.png,0,Happinasハピナス,Blissey,0,242,75,135,55,normal,,46.8
"['Lightningrod', 'Motor Drive', 'Sap Sipper']",1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,60,5120,70,295,190,Electrified Pokémon,32,1000000,5,0.8,45,images/blitzle.png,0,Shimamaシママ,Blitzle,50,522,50,32,76,electric,,29.8
"['Sturdy', 'Weak Armor', 'Sand Force']",1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2,105,3840,70,390,120,Ore Pokémon,105,1059860,5,0.9,70,images/boldore.png,0,Gantleガントル,Boldore,50,525,50,40,20,rock,,102.0
"['Sturdy', 'Rock Head', 'Rattled']",1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2,80,5120,70,290,255,Bonsai Pokémon,95,1000000,4,0.5,50,images/bonsly.png,0,Usohachiウソハチ,Bonsly,50,438,10,45,10,rock,,15.0
"['Reckless', 'Sap Sipper', 'Soundproof']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,110,5120,70,490,45,Bash Buffalo Pokémon,95,1000000,5,1.6,95,images/bouffalant.png,0,Buffronバッフロン,Bouffalant,50,626,40,95,55,normal,,94.6
"['Leaf Guard', 'Oblivious', 'Sweet Veil']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,30,5120,70,210,235,Fruit Pokémon,38,1059860,7,0.3,42,images/bounsweet.png,0,Amakajiアマカジ,Bounsweet,0,761,30,38,32,grass,,3.2
"['Blaze', 'Magician']",0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,59,5120,70,409,45,Fox Pokémon,58,1059860,6,1.0,59,images/braixen.png,0,Tairenarテールナー,Braixen,88.1,654,90,70,73,fire,,14.5
"['Keen Eye', 'Sheer Force', 'Defiant']",0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,123,5120,70,510,60,Valiant Pokémon,75,1250000,5,1.5,100,images/braviary.png,0,Warrgleウォーグル,Braviary,100,628,57,75,80,normal,flying,41.0
"['Effect Spore', 'Poison Heal', 'Technician']",1,0.5,1,0.5,2,1,2,4,1,0.5,0.5,2,1,2,2,0.5,1,0.5,130,3840,70,460,90,Mushroom Pokémon,80,1640000,3,1.2,60,images/breloom.png,0,Kinogassaキノガッサ,Breloom,50,286,60,60,70,grass,fighting,39.2
"['Torrent', 'Liquid Voice']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,69,3840,70,420,45,Pop Star Pokémon,69,1059860,7,0.6,60,images/brionne.png,0,Osyamariオシャマリ,Brionne,88.1,729,91,81,50,water,,17.5
"['Levitate', 'Heatproof', 'Heavy Metal']",1,2,0.5,1,0.5,1,2,0.5,2,0.5,2,0.5,0.5,0,0.25,0.5,0.5,1,89,5120,70,500,90,Bronze Bell Pokémon,116,1000000,4,1.3,67,images/bronzong.png,0,Dohtakunドータクン,Bronzong,0,437,79,116,33,steel,psychic,187.0
"['Levitate', 'Heatproof', 'Heavy Metal']",1,2,0.5,1,0.5,1,2,0.5,2,0.5,2,0.5,0.5,0,0.25,0.5,0.5,1,24,5120,70,300,255,Bronze Pokémon,86,1000000,4,0.5,57,images/bronzor.png,0,Dohmirrorドーミラー,Bronzor,0,436,24,86,23,steel,psychic,60.5
"['Dazzling', 'Strong Jaw', 'Wonder Skin ']",2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5,105,3840,70,475,80,Gnash Teeth Pokémon,70,1000000,7,0.9,68,images/bruxish.png,0,Hagigishiriハギギシリ,Bruxish,50,779,70,70,92,water,psychic,19.0
"['Natural Cure', 'Poison Point', 'Leaf Guard']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,30,5120,70,280,255,Bud Pokémon,35,1059860,4,0.2,40,images/budew.png,0,Subomieスボミー,Budew,50,406,50,70,55,grass,poison,1.2
"['Swift Swim', 'Water Veil']",1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,65,5120,70,330,190,Sea Weasel Pokémon,35,1000000,4,0.7,55,images/buizel.png,0,Buoyselブイゼル,Buizel,50,418,60,30,85,water,,29.5
"['Overgrow', 'Chlorophyll']",1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,49,5120,70,318,45,Seed Pokémon,49,1059860,1,0.7,45,images/bulbasaur.png,0,Fushigidaneフシギダネ,Bulbasaur,88.1,1,65,65,45,grass,poison,6.9
"['Run Away', 'Klutz', 'Limber']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,66,5120,0,350,190,Rabbit Pokémon,44,1000000,4,0.4,55,images/buneary.png,0,Mimirolミミロル,Buneary,50,427,44,56,85,normal,,5.5
"['Pickup', 'Cheek Pouch', 'Huge Power']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,36,3840,70,237,255,Digging Pokémon,38,1000000,6,0.4,38,images/bunnelby.png,0,Horubeeホルビー,Bunnelby,50,659,32,36,57,normal,,5.0
"['Shed Skin', 'Overcoat']",1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,29,3840,70,224,120,Bagworm Pokémon,45,1000000,4,0.2,40,images/burmy.png,0,Minomucchiミノムッチ,Burmy,50,412,29,45,36,bug,,3.4
"['Compoundeyes', 'Tinted Lens']",0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,45,3840,70,395,45,Butterfly Pokémon,50,1000000,1,1.1,60,images/butterfree.png,0,Butterfreeバタフリー,Butterfree,50,12,90,80,70,bug,flying,32.0
['Beast Boost'],0.5,0.5,1,1,2,0.5,2,4,1,0.5,0.5,1,1,1,2,1,1,1,139,30720,0,570,25,Swollen Pokémon,139,1250000,7,2.4,107,images/buzzwole.png,1,Massivoonマッシブーン,Buzzwole,0,794,53,53,79,bug,fighting,333.6
"['Sand Veil', 'Water Absorb']",2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,85,5120,35,335,190,Cactus Pokémon,40,1059860,3,0.4,50,images/cacnea.png,0,Saboneaサボネア,Cacnea,50,331,85,40,35,grass,,51.3
"['Sand Veil', 'Water Absorb']",4,0.5,1,0.5,2,2,2,2,0.5,0.5,0.5,2,1,2,0,1,1,0.5,115,5120,35,475,60,Scarecrow Pokémon,60,1059860,3,1.3,70,images/cacturne.png,0,Noctusノクタス,Cacturne,50,332,115,60,55,grass,dark,77.4
"['Magma Armor', 'Solid Rock', 'Anger Point']",0.5,1,1,0,0.5,1,0.5,1,1,1,2,1,1,0.5,1,1,0.5,4,120,5120,70,560,150,Eruption Pokémon,100,1000000,3,1.9,70,images/camerupt.png,0,Bakuudaバクーダ,Camerupt,50,323,145,105,20,fire,ground,220.0
"['Clear Body', 'Sturdy']",0.5,0.5,0,1,1,1,0.5,0.5,1,2,2,1,0.5,1,1,1,4,2,50,6400,70,500,60,Jewel Pokémon,150,1250000,6,0.3,50,images/carbink.png,0,Melecieメレシー,Carbink,0,703,50,150,50,rock,fairy,5.7
['Levitate'],2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,100,6400,70,454,200,Bug Catcher Pokémon,72,1250000,4,1.4,74,images/carnivine.png,0,Muskippaマスキッパ,Carnivine,50,455,90,72,46,grass,,27.0
"['Solid Rock', 'Sturdy', 'Swift Swim']",1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1,108,7680,70,495,45,Prototurtle Pokémon,133,1000000,5,1.2,74,images/carracosta.png,0,Abagouraアバゴーラ,Carracosta,88.1,565,83,65,32,water,rock,81.0
"['Rough Skin', 'Speed Boost']",2,0.5,1,2,2,2,0.5,1,0.5,2,1,0.5,1,1,0,1,0.5,0.5,90,5120,35,305,225,Savage Pokémon,20,1250000,3,0.8,45,images/carvanha.png,0,Kibanhaキバニア,Carvanha,50,318,65,20,65,water,dark,20.8
['Shed Skin'],1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,35,3840,70,205,120,Cocoon Pokémon,55,1000000,3,0.7,50,images/cascoon.png,0,Mayuldマユルド,Cascoon,50,268,25,25,15,bug,,11.5
['Forecast'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,6400,70,420,45,Weather Pokémon,70,1000000,3,0.3,70,images/castform.png,0,Powalenポワルン,Castform,50,351,70,70,70,normal,,0.8
"['Shield Dust', 'Run Away']",1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,30,3840,70,195,255,Worm Pokémon,35,1000000,1,0.3,45,images/caterpie.png,0,Caterpieキャタピー,Caterpie,50,10,20,20,45,bug,,2.9
['Natural Cure'],4,2,1,0.5,1,0.5,2,2,2,0.5,0.5,2,1,2,0.5,1,1,0.5,100,30720,100,600,45,Time Travel Pokémon,100,1059860,2,0.6,100,images/celebi.png,1,Celebiセレビィ,Celebi,0,251,100,100,100,psychic,grass,5.0
['Beast Boost'],0.25,1,0.5,2,0.5,1,2,0.5,1,0.25,0,1,0.5,0,0.5,1,0.5,1,101,30720,0,570,25,Launch Pokémon,103,1250000,7,9.2,97,images/celesteela.png,1,Tekkaguyaテッカグヤ,Celesteela,0,797,107,101,61,steel,flying,999.9
"['Flash Fire', 'Flame Body', 'Infiltrator']",0.25,2,1,1,0.5,0,0.5,1,2,0.5,2,0.5,0,0.5,1,2,0.5,2,55,5120,70,520,45,Luring Pokémon,90,1059860,5,1.0,60,images/chandelure.png,0,Chandelaシャンデラ,Chandelure,50,609,145,90,80,ghost,fire,34.3
"['Natural Cure', 'Serene Grace', 'Healer']",1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,5,10240,140,450,30,Egg Pokémon,5,800000,1,1.1,250,images/chansey.png,0,Luckyラッキー,Chansey,0,113,35,105,50,normal,,34.6
